назва;стан;білки_г;жири_г;вуглеводи_г;клітковина_г;цукри_г;натрій_мг;source;спирт_г
Сом;сире;15.23;5.94;0;0;0;98;usda:175165;
Скумбрія копчена;як продається;19.8;22.9;0.92;0;0;616;ciqual:26087;
Лосось слабосолоний;як продається;22.2;10.5;0.13;0.26;0.13;1220;ciqual:26037;
Риба сушена (вобла/тарань);як продається;46;5;0;0;0;2500;estimate;
Ікра червона;як продається;30.8;10.5;5.16;1;;936;ciqual:26275;
Ікра чорна;як продається;24.6;17.9;4;0;0;1500;usda:174188;
Ікра тріски (консервована);як продається;29;4.2;0.1;0;;816;ciqual:26056;
Печінка тріски консервована;як продається;7.25;44.4;1;0;0;446;ciqual:26142;
Креветки;сире;20.1;0.51;0;;;119;usda:175179;
Креветки тигрові;сире;13.61;1.01;0.91;0;0;566;usda:174210;
Мідії;сире;11.9;2.24;3.69;0;0;286;usda:174216;
Кальмар;сире;15.58;1.38;3.08;0;0;44;usda:174223;
Восьминіг;сире;14.91;1.04;2.2;0;0;230;usda:174218;
Краб (мʼясо);сире;18.06;1.08;0.04;0;;293;usda:174204;
Крабові палички;як продається;7.62;0.46;15;0.5;6.25;529;usda:174203;
Гребінець;сире;12.06;0.49;3.18;0;0;392;usda:174220;
Устриці;сире;9.45;2.3;4.95;0;;106;usda:174219;
Морський коктейль заморожений;готове;13.5;1.57;2.83;0;0;402;ciqual:10080;
Водорості норі;сухе;30.2;1.77;11.7;36.8;0;1900;ciqual:20987;
Водорості вакаме;сухе;12.2;1.5;13.3;42.9;0.04;3650;ciqual:20999;
Яйце куряче ціле;сире;12.56;9.51;0.72;0;0.37;142;usda:171287;
Яєчний білок;сире;10.9;0.17;0.73;0;0.71;166;usda:172183;
Яєчний жовток;сире;15.86;26.54;3.59;0;0.56;48;usda:172184;
Яйце перепелине;сире;13.05;11.09;0.41;0;0.4;141;usda:172191;
Яйце качине;сире;12.81;13.77;1.45;0;0.93;146;usda:172189;
Молоко 0,5%;як продається;3.37;0.08;4.96;0;5.09;42;usda:171269;
Молоко 1,5%;як продається;3.13;1.54;4.9;0;4.81;31;ciqual:19042;
Молоко 2,5%;як продається;3.3;1.98;4.8;0;5.06;47;usda:171267;
Молоко 3,2%;як продається;3.15;3.25;4.8;0;5.05;43;usda:171265;
Молоко цільне 3,5–4%;як продається;3.39;3.55;4.77;0;4.64;37;ciqual:19023;
Молоко пряжене;як продається;3;4;4.7;0;4.7;50;estimate;
Кефір 1%;як продається;3.79;1.02;4.77;0;4.61;40;usda:170904;
Кефір 2,5%;як продається;3;2.5;4;0;4;50;estimate;
Кефір 3,2%;як продається;3.13;3.4;4.5;0;3.42;49;ciqual:19865;
Ряжанка 4%;як продається;2.7;4;4.1;;4.1;40;estimate;
Айран;як продається;2.5;2;2.9;;2.9;248;estimate;
Йогурт натуральний 1,5%;як продається;5.25;1.55;7.04;0;7.04;70;usda:170886;
Йогурт натуральний 3–4%;як продається;3.47;3.25;4.66;0;4.66;46;usda:171284;
Йогурт грецький 5–10%;як продається;2.96;8.16;3.73;0.07;3.11;32;ciqual:19860;
Йогурт питний солодкий;як продається;2.92;1.39;12.3;0.08;12.1;36.1;ciqual:19534;
Кисле молоко;як продається;3.31;3.2;1.99;;1.99;35;ciqual:19805;
Сироватка;як продається;0.85;0.36;5.14;0;5.14;54;usda:171282;
Сметана 10%;як продається;3.5;10.6;7.1;0;0.22;83;usda:173443;
Сметана 15%;як продається;7;14.1;7;0;0.3;70;usda:173442;
Сметана 20%;як продається;2.44;19.35;4.63;0;3.41;31;usda:171257;
Сметана 25–30%;як продається;2.4;30;3;0;3;40;estimate;
Вершки 10%;як продається;3.13;11.5;4.3;0;4.13;61;usda:171255;
Вершки 20%;як продається;2.96;19.1;3.66;0;3.67;72;usda:170857;
Вершки 33–35%;як продається;2.84;36.08;2.84;0;2.92;27;usda:170859;
Масло вершкове 72,5%;як продається;1;72.5;1.4;;;;estimate;
Масло 82%;як продається;0.85;81.11;0.06;0;0.06;11;usda:173430;
Масло топлене (гхі);як продається;0.28;99.48;0;0;0;2;usda:173412;
Маргарин;як продається;0.16;80.71;0.7;0;0;751;usda:172346;
Згущене молоко;як продається;7.91;8.7;54.4;0;54.4;127;usda:171275;
Сухе молоко;сухе;26.32;26.71;38.42;0;38.42;371;usda:173454;
Сир кисломолочний (творог) 0%;як продається;10.34;0.29;6.66;0;1.85;372;usda:172181;
Сир кисломолочний (творог) 5%;як продається;11.12;4.3;3.38;0;2.67;315;usda:172179;
Сир кисломолочний (творог) 9%;як продається;5.44;7.63;5.87;0.05;3.69;40.8;ciqual:19711;
Сир кисломолочний (творог) 18%;як продається;14;18;2.8;0;2.8;40;estimate;
Сирна маса солодка;як продається;10.5;16.5;24.5;;21.5;39;estimate;
Сирки глазуровані;як продається;10;28;30;;23;0.16;estimate;
Гауда;як продається;24.94;27.44;2.22;0;2.22;819;usda:171241;
Едам;як продається;24.99;28.57;1.43;0;0;973;usda:173419;
Чедер;як продається;23.3;34;2.44;;0.33;654;usda:328637;
Пармезан;як продається;30.14;29.5;4.33;;0.64;1046;usda:2259795;
Грана падано;як продається;33.2;28.5;1.17;0;0;538;ciqual:12123;
Пекоріно;як продається;31.8;26.94;3.63;0;0.73;1433;usda:171249;
Емменталь;як продається;27.3;28.8;0;0;0;245;ciqual:12115;
Грюєр;як продається;29.81;32.34;0.36;0;0.36;714;usda:171242;
Маасдам;як продається;25;28.4;0;0;0;517;ciqual:12741;
«Російський»/«голландський» (типу тільзитер);як продається;24.41;25.98;1.88;0;;753;usda:170852;
Проволоне;як продається;25.58;26.62;2.14;0;0.56;727;usda:170850;
Качокавало;як продається;25;24;0.5;;0.5;680;estimate;
Конте;як продається;27.2;33.8;0;0;0;403;ciqual:12110;
Моцарела;як продається;22.17;22.14;2.4;0;0;486;usda:170845;
Моцарела буфало;як продається;14.3;22.3;0.18;0.06;0;197;ciqual:19591;
Бурата;як продається;10;23;1.8;0;1.4;146;estimate;
Брі;як продається;20.75;27.68;0.45;0;0.45;629;usda:172177;
Камамбер;як продається;19.8;24.26;0.46;0;0.46;842;usda:172178;
Фета;як продається;14.21;21.49;3.88;0;0;1139;usda:173420;
Бринза;як продається;13.5;11.5;4.5;;4.5;1200;estimate;
Сулугуні;як продається;20.5;22;0.4;;0.4;983;estimate;
Адигейський;як продається;19;16;1.5;0;1.5;450;estimate;
Халумі;як продається;21;23;4;;2.5;1080;estimate;
Горгонзола/блакитний;як продається;21.4;28.74;2.34;0;0.5;1146;usda:172175;
Рокфор;як продається;21.54;30.64;2;0;;1809;usda:171250;
Дор блю;як продається;16.5;32.5;0.68;0.06;0.18;850;ciqual:12520;
Рікота;як продається;7.54;10.18;7.27;0;0.27;110;usda:170851;
Маскарпоне;як продається;5.88;37;3.1;;2.99;32.2;ciqual:19584;
Творожний вершковий сир (типу Філадельфія);як продається;6.15;34.44;5.52;0;3.76;314;usda:173418;
Сир плавлений;як продається;11;17.6;8.52;0.13;5.75;736;ciqual:12303;
Сир козячий свіжий;як продається;18.52;21.08;0;0;0;459;usda:173435;
Сир козячий витриманий;як продається;30.52;35.59;2.17;0;2.17;423;usda:172197;
Сир копчений (типу «косичка»);як продається;22;24;2;0;1;1400;estimate;
Панір;як продається;20;24;4;;4;9.6;estimate;
Тофу;як продається;9.04;4.17;2.85;0.9;0.6;12;usda:172448;
Сир вершковий для намазування;як продається;6.13;20.7;3.31;0;3.31;358;ciqual:12068;
Картопля;сире;2.05;0.09;17.49;2.1;0.82;6;usda:170026;
Картопля молода;сире;1.94;0.3;15.8;1.35;0.2;23;ciqual:4023;
Батат;сире;1.57;0.05;20.12;3;4.18;55;usda:168482;
Морква;сире;0.93;0.24;9.58;2.8;4.74;69;usda:170393;
Буряк;сире;1.61;0.17;9.56;2.8;6.76;78;usda:169145;
Редька;сире;1.1;0.1;2.63;1.4;;16;usda:170081;
Редис;сире;0.68;0.1;3.4;1.6;1.86;39;usda:169276;
Дайкон;сире;0.6;0.1;4.1;1.6;2.5;21;usda:168451;
Ріпа;сире;0.9;0.1;6.43;1.8;3.8;67;usda:170465;
Пастернак;сире;1.2;0.3;17.99;4.9;4.8;10;usda:170417;
Селера корінь;сире;1.5;0.3;9.2;1.8;1.6;100;usda:170400;
Петрушка корінь;сире;2.3;0.6;12.3;4.3;4.9;56;estimate;
Хрін;сире;5.25;0.45;7.79;7.5;;13;ciqual:11016;
Імбир;сире;1.82;0.75;17.77;2;1.7;13;usda:169231;
Цибуля ріпчаста;сире;1.1;0.1;9.34;1.7;4.24;4;usda:170000;
Цибуля червона;сире;0.94;0.1;9.93;2.2;5.76;1;usda:790577;
Цибуля біла;сире;0.89;0.13;7.68;1.2;5.76;2;usda:1104962;
Цибуля зелена;сире;1.83;0.19;7.34;2.6;2.33;16;usda:170005;
Порей;сире;1.5;0.3;14.15;1.8;3.9;20;usda:169246;
Шалот;сире;2.5;0.1;16.8;3.2;7.87;12;usda:170499;
Часник;сире;6.36;0.5;33.06;2.1;1;17;usda:169230;
Часник молодий;сире;3;0.3;7;2;1.5;15;estimate;
Капуста білокачанна;сире;1.28;0.1;5.8;2.5;3.2;18;usda:169975;
Капуста червонокачанна;сире;1.43;0.16;7.37;2.1;3.83;27;usda:169977;
Капуста пекінська;сире;1.2;0.2;3.23;1.2;1.41;9;usda:169979;
Капуста цвітна;сире;1.92;0.28;4.97;2;1.91;30;usda:169986;
Броколі;сире;2.82;0.37;6.64;2.6;1.7;33;usda:170379;
Капуста брюссельська;сире;3.38;0.3;8.95;3.8;2.2;25;usda:170383;
Кольрабі;сире;1.7;0.1;6.2;3.6;2.6;20;usda:168424;
Капуста савойська;сире;2;0.1;6.1;3.1;2.27;28;usda:170388;
Кейл;сире;2.92;1.49;4.42;4.1;0.99;53;usda:168421;
Квашена капуста;як продається;0.91;0.14;4.28;2.9;1.78;661;usda:169279;
Томат;сире;0.88;0.2;3.89;1.2;2.63;5;usda:170457;
Томат черрі;сире;0.9;0.2;3.9;1.2;2.6;5;estimate;
Томат сливка;сире;0.9;0.2;3.9;1.2;2.6;5;estimate;
Огірок;сире;0.65;0.11;3.63;0.5;1.67;2;usda:168409;
Огірок солоний;як продається;0.5;0.3;2.41;1;1.07;809;usda:168558;
Огірок малосольний;як продається;0.6;0.1;2.5;1;1.2;700;estimate;
Перець солодкий червоний;сире;0.99;0.3;6.03;2.1;4.2;4;usda:170108;
Перець жовтий;сире;1;0.21;6.32;0.9;;2;usda:169383;
Перець зелений;сире;0.86;0.17;4.64;1.7;2.4;3;usda:170427;
Перець чилі;сире;1.87;0.44;8.81;1.5;5.3;9;usda:170106;
Перець халапеньйо;сире;0.91;0.37;6.5;2.8;4.12;3;usda:168576;
Кабачок;сире;1.21;0.32;3.11;1;2.5;8;usda:169291;
Цукіні;сире;1.21;0.32;3.11;1;2.5;8;usda:169291;
Баклажан;сире;0.98;0.18;5.88;3;3.53;2;usda:169228;
Гарбуз;сире;1;0.1;6.5;0.5;2.76;1;usda:168448;
Патисон;сире;1.2;0.2;3.84;1.2;2.39;1;usda:169289;
Кукурудза свіжа;сире;3.27;1.35;18.7;2;6.26;15;usda:169998;
Кукурудза консервована;як продається;2.29;1.22;14.34;2;4.44;205;usda:169214;
Горошок зелений свіжий;сире;5.42;0.4;14.45;5.7;5.67;5;usda:170419;
Горошок консервований;як продається;4.33;0.95;11.82;;;231;usda:170015;
Стручкова квасоля;сире;1.83;0.22;6.97;2.7;3.26;6;usda:169961;
Окра;сире;1.93;0.19;7.45;3.2;1.48;7;usda:169260;
Артишок;сире;3.27;0.15;10.51;5.4;0.99;94;usda:169205;
Шпинат;сире;2.86;0.39;3.63;2.2;0.42;79;usda:168462;
Руккола;сире;2.58;0.66;3.65;1.6;2.05;27;usda:169387;
Салат латук;сире;1.35;0.22;2.23;1.1;0.94;5;usda:168429;
Салат айсберг;сире;0.9;0.14;2.97;1.2;1.97;10;usda:169248;
Салат ромен;сире;1.23;0.3;3.29;2.1;1.19;8;usda:169247;
Мангольд;сире;1.8;0.2;3.74;1.6;1.1;213;usda:169991;
Щавель;сире;1.89;0.65;1.6;1.8;1.54;4;ciqual:20111;
Крес-салат;сире;2.3;0.1;1.29;0.5;0.2;41;usda:170068;
Корн;сире;2;0.4;3.6;;;4;usda:169219;
Фризе;сире;1.25;0.2;3.35;3.1;0.25;22;usda:168412;
Радічіо;сире;1.43;0.25;4.48;0.9;0.6;22;usda:168564;
Селера стебло;сире;0.69;0.17;2.97;1.6;1.34;80;usda:169988;
Спаржа;сире;2.2;0.12;3.88;2.1;1.88;2;usda:168389;
Фенхель;сире;1.24;0.2;7.3;3.1;3.93;52;usda:169385;
Авокадо;сире;2;14.66;8.53;6.7;0.66;7;usda:171705;
Оливки зелені;як продається;1.03;15.32;3.84;3.3;0.54;1556;usda:169096;
Оливки чорні (каламата);як продається;0.84;10.9;6.04;1.6;0;735;usda:169094;
Каперси;як продається;2.36;0.86;4.89;3.2;0.41;2348;usda:172238;
Артишок консервований;як продається;2.9;0.4;9.6;4.8;1;330;estimate;
Топінамбур;сире;2;0.01;17.44;1.6;9.6;4;usda:169236;
Печериці;сире;3.09;0.34;3.26;1;1.98;5;usda:169251;
Гливи;сире;3.31;0.41;6.09;2.3;1.11;18;usda:168580;
Білі свіжі;сире;3.23;0.49;2;2.12;1.28;21;ciqual:20160;
Білі сушені;сухе;30;3;40;20;5;30;estimate;
Лисички;сире;1.49;0.53;6.86;3.8;1.16;9;usda:168422;
Опеньки;сире;2.2;1.2;0.5;2.5;0.2;5;estimate;
Шиітаке;сире;2.24;0.49;6.79;2.5;2.38;9;usda:169242;
Еноки;сире;2.66;0.29;7.81;2.7;0.22;3;usda:169382;
Портобело;сире;2.11;0.35;3.87;1.3;2.5;9;usda:169255;
Гриби мариновані;як продається;1.87;0.29;5.09;2.4;2.34;425;usda:169254;
Кріп;сире;3.46;1.12;7.02;2.1;;61;usda:172233;
Петрушка;сире;2.97;0.79;6.33;3.3;0.85;56;usda:170416;
Кінза;сире;2.13;0.52;3.67;2.8;0.87;46;usda:169997;
Базилік;сире;3.15;0.64;2.65;1.6;0.3;4;usda:172232;
Мʼята;сире;3.29;0.73;8.41;6.8;;30;usda:173475;
Розмарин;сире;3.31;5.86;20.7;14.1;;26;usda:173473;
Чебрець;сире;5.56;1.68;24.45;14;;9;usda:173470;
Орегано свіжий;сире;3;1;9;4;1;25;estimate;
Шавлія;сире;3.7;8;20.4;11;0;11;estimate;
Естрагон;сире;3;1;7;3;0;20;estimate;
Зелена цибуля;сире;1.83;0.19;7.34;2.6;2.33;16;usda:170005;
Черемша;сире;2.4;0.1;6.5;2.1;1;10;estimate;
Щавель (зелень);сире;1.89;0.65;1.6;1.8;1.54;4;ciqual:20111;
Шпинат бебі;сире;2.9;0.4;3.6;2.2;0.4;79;estimate;
Яблуко;сире;0.26;0.17;13.81;2.4;10.39;1;usda:171688;
Груша;сире;0.36;0.14;15.23;3.1;9.75;1;usda:169118;
Айва;сире;0.4;0.1;15.3;1.9;;4;usda:168163;
Банан;сире;1.09;0.33;22.84;2.6;12.23;1;usda:173944;
Апельсин;сире;0.94;0.12;11.75;2.4;9.35;0;usda:169097;
Мандарин;сире;0.81;0.31;13.34;1.8;10.58;2;usda:169105;
Грейпфрут;сире;0.63;0.1;8.08;1.1;6.98;0;usda:173033;
Лимон;сире;1.1;0.3;9.32;2.8;2.5;2;usda:167746;
Лайм;сире;0.7;0.2;10.54;2.8;1.69;2;usda:168155;
Помело;сире;0.76;0.04;9.62;1;;1;usda:167754;
Виноград білий;сире;0.72;0.16;18.1;0.9;15.48;2;usda:174683;
Виноград чорний;сире;0.63;0.35;17.15;0.9;16.25;2;usda:174682;
Полуниця;сире;0.67;0.3;7.68;2;4.89;1;usda:167762;
Малина;сире;1.2;0.65;11.94;6.5;4.42;1;usda:167755;
Ожина;сире;1.39;0.49;9.61;5.3;4.88;1;usda:173946;
Чорниця;сире;1.22;0.76;12.31;2.6;6.46;6;usda:167640;
Лохина;сире;0.74;0.33;14.49;2.4;9.96;1;usda:171711;
Смородина чорна;сире;1.4;0.41;15.38;;;2;usda:173963;
Смородина червона;сире;1.4;0.2;13.8;4.3;7.37;1;usda:173964;
Аґрус;сире;0.88;0.58;10.18;4.3;;1;usda:173030;
Журавлина;сире;0.46;0.13;11.97;3.6;4.27;2;usda:171722;
Брусниця;сире;0.7;0.5;11.5;3.7;8;3;estimate;
Обліпиха;сире;1.2;5.4;12.3;4.7;3;4;estimate;
Вишня;сире;1;0.3;12.18;1.6;8.49;3;usda:173954;
Черешня;сире;1.06;0.2;16.01;2.1;12.82;0;usda:171719;
Слива;сире;0.7;0.28;11.42;1.4;9.92;0;usda:169949;
Алича;сире;0.2;0.1;8;1.5;6.5;0;estimate;
Абрикос;сире;1.4;0.39;11.12;2;9.24;1;usda:171697;
Персик;сире;0.91;0.25;9.54;1.5;8.39;0;usda:169928;
Нектарин;сире;1.06;0.32;10.55;1.7;7.89;0;usda:169914;
Кавун;сире;0.61;0.15;7.55;0.4;6.2;1;usda:167765;
Диня;сире;0.84;0.19;8.16;0.9;7.86;16;usda:169092;
Ківі;сире;1.14;0.52;14.66;3;8.99;3;usda:168153;
Гранат;сире;1.67;1.17;18.7;4;13.67;3;usda:169134;
Інжир свіжий;сире;0.75;0.3;19.18;2.9;16.26;1;usda:173021;
Хурма;сире;0.58;0.19;18.59;3.6;12.53;1;usda:169941;
Манго;сире;0.82;0.38;14.98;1.6;13.66;1;usda:169910;
Ананас;сире;0.54;0.12;13.12;1.4;9.85;1;usda:169124;
Папая;сире;0.47;0.26;10.82;1.7;7.82;8;usda:169926;
Маракуя;сире;2.2;0.7;23.38;10.4;11.2;28;usda:169108;
Кокос (мʼякоть);сире;3.33;33.49;15.23;9;6.23;20;usda:170169;
Кокосова стружка;сухе;6.88;64.53;23.65;16.3;7.35;37;usda:170170;
Родзинки;сухе;3.3;0.25;79.32;4.5;65.18;26;usda:168165;
Курага;сухе;3.39;0.51;62.64;7.3;53.44;10;usda:173941;
Чорнослив;сухе;2.18;0.38;63.88;7.1;38.13;2;usda:168162;
Фініки;сухе;2.45;0.39;75.03;8;63.35;2;usda:171726;
Інжир сушений;сухе;3.3;0.93;63.87;9.8;47.92;10;usda:174665;
Яблука сушені;сухе;0.93;0.32;65.89;8.7;57.19;87;usda:171691;
Груша сушена;сухе;1.87;0.63;69.7;7.5;62.2;6;usda:169121;
Журавлина сушена;сухе;0.17;1.09;82.8;5.3;72.56;5;usda:171723;
Банан сушений;сухе;3.89;1.81;88.28;9.9;47.3;3;usda:173945;
Цукати;як продається;0.25;0.06;72.4;3.3;62.9;56;ciqual:31027;
Волоський горіх;сире;15.23;65.21;13.71;6.7;2.61;2;usda:170187;
Мигдаль;сире;21.15;49.93;21.55;12.5;4.35;1;usda:170567;
Фундук;сире;14.95;60.75;16.7;9.7;4.34;0;usda:170581;
Кешью;сире;18.22;43.85;30.19;3.3;5.91;12;usda:170162;
Арахіс сирий;сире;25.8;49.24;16.13;8.5;4.72;18;usda:172430;
Арахіс смажений солоний;сире;25.8;49.24;16.13;8.5;4.72;18;usda:172430;
Фісташки;сире;20.16;45.32;27.17;10.6;7.66;1;usda:170184;
Кедровий горіх;сухе;13.69;68.37;13.08;3.7;3.59;2;usda:170591;
Бразильський горіх;сухе;14.32;67.1;11.74;7.5;2.33;3;usda:170569;
Пекан;сире;9.17;71.97;13.86;9.6;3.97;0;usda:170182;
Макадамія;сире;7.91;75.77;13.82;8.6;4.57;5;usda:170178;
Насіння соняшника;сухе;20.78;51.46;20;8.6;2.62;9;usda:170562;
Насіння гарбуза;сухе;30.23;49.05;10.71;6;1.4;7;usda:170556;
Кунжут;сухе;17.73;49.67;23.45;11.8;0.3;11;usda:170150;
Насіння льону;сухе;18.29;42.16;28.88;27.3;1.55;30;usda:169414;
Чіа;сухе;16.54;30.74;42.12;34.4;;16;usda:170554;
Мак;сухе;17.99;41.56;28.13;19.5;2.99;26;usda:171330;
Арахісова паста;як продається;22.21;51.36;22.31;5;10.49;426;usda:174266;
Тахіні;як продається;17;53.76;21.19;9.3;0.49;115;usda:170189;
Мигдальна паста;як продається;20.96;55.5;18.82;10.3;6.27;227;usda:168603;
Квасоля біла суха;сухе;23.36;0.85;60.27;15.2;2.11;16;usda:175202;
Квасоля червона суха;сухе;22.53;1.06;61.29;15.2;2.1;12;usda:173744;
Квасоля червона консервована;як продається;7.98;1.05;21.49;5.5;3.8;231;usda:174285;
Квасоля біла консервована;як продається;7.26;0.29;21.2;4.8;0.29;340;usda:175204;
Квасоля чорна;сухе;21.6;1.42;62.36;15.5;2.12;5;usda:173734;
Сочевиця червона суха;сухе;23.91;2.17;63.1;10.8;;7;usda:174284;
Сочевиця зелена суха;сухе;24.63;1.06;63.35;10.7;2.03;6;usda:172420;
Нут сухий;сухе;20.47;6.04;62.95;12.2;10.7;24;usda:173756;
Нут консервований;як продається;7.05;2.77;22.53;6.4;4.01;246;usda:173800;
Горох сухий колотий;сухе;23.12;3.89;61.63;22.2;3.14;5;usda:172428;
